2025-07-27/14:37:02.253/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-8] - Setting OK Indicator

2025-07-27/14:37:02.254/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching off color: YELLOW

2025-07-27/14:37:02.254/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching status light color to: GREEN

2025-07-27/17:09:23.396/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-15] - Setting IN_USE Indicator

2025-07-27/17:09:23.396/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-15] - Switching off color: GREEN

2025-07-27/17:09:23.396/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-15] - Switching status light color to: YELLOW

2025-07-27/17:11:50.475/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-7] - Setting OK Indicator

2025-07-27/17:11:50.475/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-7] - Switching off color: YELLOW

2025-07-27/17:11:50.475/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-7] - Switching status light color to: GREEN

2025-07-27/19:14:06.947/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-8] - Setting IN_USE Indicator

2025-07-27/19:14:06.947/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching off color: GREEN

2025-07-27/19:14:06.947/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching status light color to: YELLOW

2025-07-27/19:19:47.781/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-17] - Setting OK Indicator

2025-07-27/19:19:47.781/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-17] - Switching off color: YELLOW

2025-07-27/19:19:47.781/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-17] - Switching status light color to: GREEN

2025-07-27/19:42:40.295/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-13] - Setting IN_USE Indicator

2025-07-27/19:42:40.295/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-13] - Switching off color: GREEN

2025-07-27/19:42:40.295/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-13] - Switching status light color to: YELLOW

2025-07-27/19:45:26.924/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-6] - Setting OK Indicator

2025-07-27/19:45:26.925/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-6] - Switching off color: YELLOW

2025-07-27/19:45:26.925/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-6] - Switching status light color to: GREEN

